timestamp,device_id,voltage,min_val,max_val,level,decibel,status
1776779486,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779488,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779490,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779492,pico_1,0.0516,1440,2464,1024,-36.12,KRITISK
1776779495,pico_1,0.0991,1440,3408,1968,-30.45,KRITISK
1776779497,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779499,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779501,pico_1,0.004,2096,2176,80,-58.27,OK
1776779503,pico_1,1.1193,1440,23669,22229,-9.39,KRITISK
1776779505,pico_1,0.0048,2096,2192,96,-56.68,OK
1776779507,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779509,pico_1,0.0073,2096,2240,144,-53.16,VARNING
1776779511,pico_1,0.0121,2080,2320,240,-48.73,VARNING
1776779514,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779516,pico_1,0.0153,2064,2368,304,-46.67,VARNING
1776779518,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779520,pico_1,0.004,2096,2176,80,-58.27,OK
1776779522,pico_1,0.004,2112,2192,80,-58.27,OK
1776779524,pico_1,0.0056,2096,2208,112,-55.35,OK
1776779526,pico_1,0.0048,2096,2192,96,-56.68,OK
1776779528,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779530,pico_1,0.0411,1536,2352,816,-38.1,KRITISK
1776779533,pico_1,0.0081,2112,2272,160,-52.25,VARNING
1776779535,pico_1,0.0073,2112,2256,144,-53.16,VARNING
1776779537,pico_1,0.0556,1552,2656,1104,-35.47,KRITISK
1776779539,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779541,pico_1,0.0266,1792,2320,528,-41.88,KRITISK
1776779543,pico_1,0.004,2112,2192,80,-58.27,OK
1776779545,pico_1,0.025,1824,2320,496,-42.42,KRITISK
1776779547,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779549,pico_1,0.0153,1936,2240,304,-46.67,VARNING
1776779552,pico_1,0.004,2096,2176,80,-58.27,OK
1776779554,pico_1,0.004,2112,2192,80,-58.27,OK
1776779556,pico_1,0.0089,2112,2288,176,-51.42,VARNING
1776779558,pico_1,0.004,2112,2192,80,-58.27,OK
1776779560,pico_1,0.004,2096,2176,80,-58.27,OK
1776779562,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779564,pico_1,0.004,2112,2192,80,-58.27,OK
1776779566,pico_1,0.0064,2096,2224,128,-54.19,VARNING
1776779568,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779571,pico_1,0.004,2112,2192,80,-58.27,OK
1776779573,pico_1,0.0048,2096,2192,96,-56.68,OK
1776779575,pico_1,0.0064,2064,2192,128,-54.19,VARNING
1776779577,pico_1,0.004,2112,2192,80,-58.27,OK
1776779579,pico_1,0.004,2096,2176,80,-58.27,OK
1776779581,pico_1,0.004,2112,2192,80,-58.27,OK
1776779583,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779585,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779587,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779590,pico_1,0.004,2112,2192,80,-58.27,OK
1776779592,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779594,pico_1,0.004,2112,2192,80,-58.27,OK
1776779596,pico_1,0.0129,1936,2192,256,-48.16,VARNING
1776779598,pico_1,0.004,2096,2176,80,-58.27,OK
1776779600,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779602,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779604,pico_1,0.004,2096,2176,80,-58.27,OK
1776779606,pico_1,0.004,2096,2176,80,-58.27,OK
1776779609,pico_1,0.004,2112,2192,80,-58.27,OK
1776779611,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779613,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779615,pico_1,0.004,2112,2192,80,-58.27,OK
1776779617,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779619,pico_1,0.0048,2112,2208,96,-56.68,OK
1776779621,pico_1,0.004,2096,2176,80,-58.27,OK
1776779623,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779625,pico_1,0.0048,2096,2192,96,-56.68,OK
1776779628,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779630,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779632,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779634,pico_1,0.0048,2080,2176,96,-56.68,OK
1776779636,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779638,pico_1,0.004,2112,2192,80,-58.27,OK
1776779640,pico_1,0.004,2112,2192,80,-58.27,OK
1776779642,pico_1,0.004,2112,2192,80,-58.27,OK
1776779644,pico_1,0.0048,2080,2176,96,-56.68,OK
1776779647,pico_1,0.0056,2096,2208,112,-55.35,OK
1776779649,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779651,pico_1,0.0056,2112,2224,112,-55.35,OK
1776779653,pico_1,0.0048,2096,2192,96,-56.68,OK
1776779655,pico_1,0.0048,2112,2208,96,-56.68,OK
